ID,Published_Grey,if_grey_Published,Author,YearPublication,Language,Title,Journal_Unpub,Volume_Pages,GoogleScholar,CAPES,Extra,is_seabird,MicroPlastic,YearSampleStart,YearSampleEnd,MonthsSampled,Lat,Long,BrazilianRegion1,BrazilianRegion2,BrazilianState1,BrazilianState2,BrazilianState3,MainSampledEnvironment,BrazilianBiome,MainBirdGroup,StudyAim,BirdCondition,SampleSize,NumOrders,NumFamilies,NumSpecies,Interaction,IngestionTechnique,CategorizationDebris,DataAnalysis,Model,O,FO,N,FN,M,S,V,Col,Pol,Men,Obs
1,published,NA,Azevedo & Schiefler,1991,en,Notes on the diet and ingestion of plastic material by the Magellanic Penguin Spheniscus magellanicus on Santa Catarina Island and mainland (Brazil),"Research Report, University of Liege, Institution of Zoologie, Belgium",NA,0,0,1,yes,0,1987,1988,2,-27.6,-48.43,south,NA,SC,NA,NA,sea,coastalMarine,coastal,stomachContent_diet,dead,67,1,1,1,ingestion,stomachContent,0,FO_N_M,0,0,1,1,0,1,0,0,0,0,0,Latitude and longitude placed in the midle of the offshore coast of Florianopolis Island.
2,published,NA,Argel de Oliveira,1992,pt,"O ninhal do Parque Estadual das Fontes do Ipiranga, Sao Paulo (estado de Sao Paulo, Brasil)",Boletim do Centro de Estudos Ornitologicos,8:16-21,0,0,1,no,0,1990,NA,1,-23.64,-46.61,southeast,NA,SP,NA,NA,freshwater,AtlanticForest,continental,breeding,dead,NA,2,2,3,entanglement,NA,0,Men,0,0,0,0,0,0,0,0,0,0,1,
3,published,NA,Sick,1997,pt,Ornitologia Brasileira,Book,NA,0,0,1,yes,0,NA,NA,NA,NA,NA,south,southeast,RS,RJ,NA,sea,coastalMarine,oceanic,occasionalReport,dead,NA,NA,NA,NA,ingestion,stomachContent,NA,Men,0,0,0,0,0,0,0,0,0,0,1,"The author only mention plastic interaction specifically for ‘Puffinus puffinus’ (p. 179), but he also report –on this same page-- other procellariiform species that were affected by plastics. However, as he does not name specifically those species (with positive plastic interaction), we did not include them on the ‘taxonomic’ account -- only ‘Puffinus puffinus’ and its higher-level taxonomic ranks (on both ‘_analysed’ and ‘_with_plastic’). The author also does not specify a place from the mentioned States where the samples were obtained; therefore we did not include it on the map.  *Check: Costalunga & Chiarardia 1988 Congres Bras Zoo."
4,published,NA,Schulz-Neto,1998,pt,"Aspectos biologicos da avifauna marinha na Reserva Biologica do Atol das Rocas, Rio Grande do Norte, Brasil",El Hornero,15:17-28,0,0,1,yes,0,1991,1994,6,-3.86,-33.81,northeast,NA,RN,NA,NA,sea,coastalMarine,oceanic,breeding,alive,NA,2,2,5,nest,NA,NA,Men,0,0,0,0,0,0,0,0,0,0,1,0
5,published,NA,Fonseca et al.,2001,pt,Ocorrencia de Petrel-azul (Halobaena caerulea) no litoral do Brasil,Ornitologia Neotropical,12:355-356,0,0,1,yes,0,1999,NA,NA,-31.33,-51,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,occasionalReport,dead,1,1,1,1,ingestion,stomachContent,0,S_Men,0,0,0,1,0,0,1,0,0,0,1,"Latitude and longitude based on the description of ‘9 km south from Mostardas Lighthouse, Rio Grande do Sul State’ given by the authors."
6,published,NA,Petry et al.,2001,en,"Food habits of the, Royal Albatross, Diomedea epomophora (Lesson, 1825), at the seacoast of Brazil",Acta Biologica Leopoldensia,23:207-212,0,0,1,yes,0,1997,1998,13,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,stomachContent_diet,dead,2,1,1,1,ingestion,stomachContent,0,Men,0,0,0,0,0,0,0,0,0,0,1,
7,published,NA,Olmos & Silva e Silva,2002,en,Breeding biology of the Little Blue Heron (Egretta caerulea) in southeastern Brazil,Ornitologia Neotropical,13:17-30,0,0,1,no,0,1994,1997,20,-23.88,-46.38,southeast,NA,SP,NA,NA,mangrove,AtlanticForest,continental,breeding,alive,NA,1,1,1,nest,NA,NA,Men,0,0,0,0,0,0,0,0,0,0,1,"The authors mention the use of the ‘pink vinyl tape’ (used for marking the Little Blue Heron nests) as a nest material by another species on the same colony, the Scarlet Ibises (Eudocimus ruber). As the paper is about the Little Blue Herons, here on the index sheet we accounted for just one species, although in both “_analysed” and “_with_plastic” sheets we included the Scarlet Ibis as well."
8,published,NA,Petry & Fonseca,2002,en,"Effects of human activities in the marine environment on seabirds along the coast of Rio Grande do Sul, Brazil",Ornitologia Neotropical,13:137-142,1,NA,NA,yes,0,1997,1998,13,-30.76,-50.52,south,NA,RS,NA,NA,sea,coastalMarine,oceanic,humanInteractions,dead,581,2,3,16,ingestion,stomachContent,0,FO,0,0,1,0,0,0,0,0,0,0,0,"We did not consider 'Thalassarche chrysostoma' an analyzed species, as it was latter reidentified as 'Thalassarche chlororhynchos' (L. Bugoni, pers. comm.). The authors mention types of anthropogenic material found. SampleSize is based on the stomach contents analyzed. Note that n=2 ‘Diomedea epomophora’ are the same reported herein under “ID 6” (Petry et al 2001)."
9,published,NA,Branco,2003,pt,"Reproducao de Sterna hirundinacea Lesson e S. eurygnatha Saunders (Aves, Laridae), no litoral de Santa Catarina, Brasil",Revista Brasileira de Zoologia,20:655-659,0,0,1,yes,0,1999,2002,28,-27.27,-48.46,south,NA,SC,NA,NA,sea,coastalMarine,coastal,breeding,dead,NA,1,1,2,entanglement,NA,0,Men,0,0,0,0,0,0,0,0,0,0,1,Latitude and longitude from the bay between Governador Celso Ramos-Bombinhas-REBIO Arvoredo-Canasvieiras.
10,published,NA,Both & Freitas,2004,pt,Aves marinhas do Arquipelago de Sao Pedro e Sao Paulo,Book chapter – in Branco (org.),"Chapter 9, p. 193-212",0,0,1,yes,0,1999,2000,6,0.9,-29.34,northeast,NA,PE,NA,NA,sea,coastalMarine,oceanic,breeding,alive,NA,2,2,3,nest,NA,0,Men,0,0,0,0,0,0,0,0,0,0,1,
